episode,reward,steps
0.0,-4.0,1760.0
1.0,6.0,1763.0
2.0,-1.0,1784.0
3.0,1.0,1766.0
4.0,1.0,1771.0
5.0,6.0,1760.0
6.0,0.0,1770.0
7.0,3.0,1770.0
8.0,1.0,1780.0
9.0,0.0,1781.0
10.0,10.0,1759.0
11.0,0.0,1784.0
12.0,-2.0,1774.0
13.0,7.0,1773.0
14.0,3.0,1768.0
15.0,-3.0,1763.0
16.0,0.0,1771.0
17.0,6.0,1772.0
18.0,-6.0,1778.0
19.0,-6.0,1774.0
20.0,9.0,1769.0
21.0,2.0,1756.0
22.0,3.0,1758.0
23.0,-2.0,1773.0
24.0,14.0,1773.0
25.0,3.0,1766.0
26.0,17.0,1779.0
27.0,6.0,1781.0
28.0,15.0,1777.0
29.0,0.0,1760.0
30.0,5.0,1767.0
31.0,4.0,1775.0
32.0,3.0,1782.0
33.0,8.0,1757.0
34.0,1.0,1758.0
35.0,9.0,1773.0
36.0,21.0,1776.0
37.0,11.0,1760.0
38.0,1.0,1761.0
39.0,-2.0,1767.0
40.0,13.0,1778.0
41.0,-1.0,1762.0
42.0,-1.0,1776.0
43.0,16.0,1774.0
44.0,11.0,1767.0
45.0,3.0,1770.0
46.0,8.0,1779.0
47.0,4.0,1769.0
48.0,4.0,1781.0
49.0,-3.0,1770.0
50.0,-2.0,1771.0
51.0,-2.0,1762.0
52.0,1.0,1774.0
53.0,-5.0,1777.0
54.0,10.0,1756.0
55.0,18.0,1765.0
56.0,-6.0,1777.0
57.0,6.0,1758.0
58.0,27.0,1775.0
59.0,13.0,1778.0
60.0,46.0,1760.0
61.0,-5.0,1778.0
62.0,-7.0,1757.0
63.0,1.0,1775.0
64.0,-23.0,1769.0
65.0,30.0,1709.0
66.0,16.0,1778.0
67.0,23.0,1758.0
68.0,29.0,1765.0
69.0,23.0,1759.0
70.0,5.0,1769.0
71.0,-2.0,1780.0
72.0,9.0,1775.0
73.0,10.0,1756.0
74.0,4.0,1778.0
75.0,-1.0,1779.0
76.0,4.0,1767.0
77.0,9.0,1766.0
78.0,14.0,1763.0
