episode,reward,steps
0.0,-21.0,821.0
1.0,-19.0,923.0
2.0,-21.0,894.0
3.0,-20.0,847.0
4.0,-21.0,845.0
5.0,-19.0,1159.0
6.0,-21.0,848.0
7.0,-18.0,1285.0
8.0,-19.0,1097.0
9.0,-20.0,1038.0
10.0,-19.0,1144.0
11.0,-21.0,1195.0
12.0,-20.0,1078.0
13.0,-19.0,1367.0
14.0,-20.0,1036.0
15.0,-18.0,1224.0
16.0,-18.0,1471.0
17.0,-19.0,1631.0
18.0,-17.0,2027.0
19.0,-15.0,1746.0
20.0,-17.0,1818.0
21.0,-19.0,1651.0
22.0,-17.0,1958.0
23.0,-18.0,1545.0
24.0,-18.0,1889.0
25.0,-15.0,2126.0
26.0,-17.0,1965.0
27.0,-19.0,1797.0
28.0,-18.0,1752.0
29.0,-18.0,1675.0
30.0,-19.0,1804.0
31.0,-20.0,1470.0
32.0,-18.0,1885.0
33.0,-13.0,2470.0
34.0,-20.0,1662.0
35.0,-20.0,1721.0
36.0,-17.0,1957.0
37.0,-17.0,2166.0
38.0,-16.0,2132.0
39.0,-18.0,1806.0
40.0,-16.0,2048.0
41.0,-21.0,1599.0
42.0,-18.0,2004.0
43.0,-17.0,2218.0
44.0,-14.0,2561.0
45.0,-18.0,2101.0
46.0,-20.0,1701.0
47.0,-16.0,2237.0
48.0,-18.0,2248.0
49.0,-14.0,2168.0
50.0,-15.0,2097.0
51.0,-17.0,2412.0
52.0,-16.0,2278.0
53.0,-16.0,2431.0
54.0,-10.0,2924.0
55.0,-13.0,2529.0
56.0,-12.0,2942.0
57.0,-18.0,2442.0
58.0,-15.0,2563.0
59.0,-14.0,2685.0
60.0,-17.0,2321.0
61.0,-15.0,2535.0
62.0,-15.0,2339.0
63.0,-12.0,3186.0
64.0,-14.0,2533.0
65.0,-10.0,3050.0
66.0,-14.0,2688.0
67.0,-14.0,2610.0
68.0,-10.0,3011.0
69.0,-12.0,3013.0
70.0,-12.0,2505.0
71.0,-13.0,3008.0
72.0,-15.0,2909.0
73.0,-15.0,2188.0
74.0,-11.0,2901.0
75.0,-9.0,3055.0
76.0,-10.0,3028.0
77.0,-6.0,3379.0
78.0,-8.0,3444.0
79.0,-6.0,3520.0
80.0,-10.0,2879.0
81.0,-12.0,2884.0
82.0,-5.0,3932.0
83.0,-8.0,3492.0
84.0,-5.0,3968.0
85.0,-1.0,3927.0
86.0,-10.0,2644.0
87.0,4.0,4109.0
88.0,-6.0,3245.0
89.0,-6.0,3762.0
90.0,-4.0,3682.0
91.0,-7.0,3450.0
92.0,-2.0,3595.0
93.0,-2.0,4134.0
94.0,-7.0,3542.0
95.0,-1.0,3915.0
96.0,-2.0,3803.0
97.0,-7.0,3537.0
98.0,-4.0,3206.0
99.0,-5.0,3877.0
100.0,3.0,3720.0
101.0,6.0,3512.0
102.0,-6.0,3523.0
103.0,5.0,3331.0
104.0,-1.0,3845.0
105.0,8.0,2968.0
106.0,3.0,3813.0
107.0,4.0,3098.0
108.0,8.0,3325.0
109.0,1.0,3745.0
110.0,13.0,2413.0
111.0,10.0,2707.0
112.0,14.0,2183.0
113.0,9.0,2567.0
114.0,6.0,2842.0
115.0,16.0,2503.0
116.0,11.0,2817.0
117.0,9.0,3159.0
118.0,6.0,2774.0
119.0,10.0,2763.0
120.0,8.0,3171.0
121.0,8.0,3166.0
122.0,14.0,2497.0
123.0,2.0,3579.0
124.0,1.0,3324.0
125.0,16.0,2232.0
126.0,15.0,2773.0
127.0,9.0,3229.0
128.0,12.0,3012.0
129.0,9.0,3006.0
130.0,15.0,2144.0
131.0,17.0,2415.0
132.0,8.0,2958.0
133.0,11.0,2768.0
134.0,12.0,2846.0
135.0,10.0,2755.0
136.0,8.0,3316.0
137.0,8.0,2938.0
138.0,5.0,2919.0
139.0,12.0,3280.0
140.0,9.0,2655.0
141.0,16.0,2345.0
142.0,17.0,2088.0
143.0,6.0,2999.0
144.0,12.0,2612.0
145.0,13.0,2897.0
146.0,10.0,2729.0
147.0,14.0,2310.0
148.0,13.0,2622.0
