episode,reward,steps
0.0,0.0,1779.0
1.0,0.0,1762.0
2.0,1.0,1772.0
3.0,3.0,1767.0
4.0,2.0,1758.0
5.0,0.0,1783.0
6.0,2.0,1783.0
7.0,2.0,1765.0
8.0,2.0,1773.0
9.0,1.0,1766.0
10.0,2.0,1782.0
11.0,4.0,1773.0
12.0,-3.0,1760.0
13.0,-4.0,1775.0
14.0,5.0,1780.0
15.0,3.0,1762.0
16.0,4.0,1778.0
17.0,2.0,1779.0
18.0,0.0,1759.0
19.0,0.0,1757.0
20.0,1.0,1770.0
21.0,-3.0,1768.0
22.0,-12.0,1757.0
23.0,-3.0,1779.0
24.0,4.0,1758.0
25.0,-1.0,1778.0
26.0,4.0,1765.0
27.0,13.0,1773.0
28.0,1.0,1771.0
29.0,-1.0,1765.0
30.0,-1.0,1760.0
31.0,0.0,1785.0
32.0,6.0,1765.0
33.0,0.0,1772.0
34.0,-11.0,1762.0
35.0,-1.0,1777.0
36.0,-5.0,1771.0
37.0,-4.0,1764.0
38.0,1.0,1770.0
39.0,1.0,1772.0
40.0,-3.0,1777.0
41.0,2.0,1769.0
42.0,7.0,1761.0
43.0,-5.0,1773.0
44.0,-5.0,1769.0
45.0,3.0,1760.0
46.0,0.0,1766.0
47.0,1.0,1764.0
48.0,9.0,1763.0
49.0,1.0,1780.0
50.0,2.0,1781.0
51.0,-7.0,1785.0
52.0,-2.0,1779.0
53.0,-6.0,1785.0
54.0,-9.0,1769.0
55.0,4.0,1766.0
56.0,5.0,1765.0
57.0,3.0,1764.0
58.0,1.0,1773.0
59.0,-1.0,1762.0
60.0,8.0,1763.0
61.0,-6.0,1784.0
62.0,-5.0,1776.0
63.0,3.0,1756.0
64.0,-4.0,1760.0
65.0,1.0,1773.0
66.0,17.0,1760.0
67.0,6.0,1762.0
68.0,5.0,1777.0
69.0,1.0,1778.0
70.0,0.0,1774.0
71.0,21.0,1782.0
72.0,6.0,1774.0
73.0,-1.0,1758.0
74.0,0.0,1784.0
75.0,5.0,1784.0
76.0,-1.0,1777.0
77.0,15.0,1771.0
78.0,5.0,1765.0
79.0,-3.0,1781.0
80.0,4.0,1771.0
81.0,0.0,1768.0
82.0,8.0,1760.0
83.0,22.0,1756.0
84.0,2.0,1771.0
85.0,2.0,1778.0
86.0,1.0,1784.0
87.0,1.0,1780.0
88.0,17.0,1781.0
89.0,3.0,1767.0
90.0,2.0,1784.0
91.0,5.0,1762.0
92.0,6.0,1777.0
93.0,-3.0,1761.0
94.0,3.0,1776.0
95.0,5.0,1760.0
96.0,-1.0,1772.0
97.0,-5.0,1784.0
98.0,-2.0,1766.0
99.0,1.0,1774.0
100.0,4.0,1779.0
101.0,15.0,1774.0
102.0,-2.0,1765.0
103.0,3.0,1760.0
104.0,2.0,1771.0
105.0,6.0,1766.0
106.0,-1.0,1784.0
107.0,6.0,1764.0
108.0,-2.0,1762.0
109.0,1.0,1776.0
110.0,-2.0,1767.0
111.0,2.0,1772.0
112.0,25.0,1784.0
113.0,0.0,1772.0
114.0,0.0,1779.0
115.0,4.0,1769.0
116.0,9.0,1782.0
117.0,9.0,1759.0
118.0,1.0,1779.0
119.0,8.0,1756.0
120.0,-1.0,1763.0
121.0,-1.0,1761.0
122.0,2.0,1758.0
123.0,7.0,1773.0
124.0,16.0,1760.0
125.0,-1.0,1768.0
126.0,4.0,1766.0
127.0,1.0,1767.0
128.0,5.0,1775.0
129.0,-9.0,1768.0
130.0,7.0,1766.0
131.0,21.0,1785.0
132.0,4.0,1761.0
133.0,-7.0,1784.0
134.0,20.0,1781.0
135.0,8.0,1771.0
136.0,12.0,1762.0
137.0,8.0,1777.0
138.0,1.0,1757.0
139.0,-3.0,1781.0
140.0,3.0,1756.0
141.0,17.0,1775.0
142.0,11.0,1769.0
143.0,21.0,1768.0
144.0,4.0,1776.0
145.0,30.0,1604.0
146.0,3.0,1771.0
147.0,4.0,1773.0
148.0,6.0,1777.0
149.0,11.0,1774.0
150.0,-7.0,1774.0
151.0,33.0,1784.0
152.0,20.0,1774.0
153.0,4.0,1776.0
154.0,10.0,1785.0
155.0,1.0,1774.0
156.0,9.0,1780.0
157.0,3.0,1779.0
158.0,2.0,1770.0
159.0,22.0,1775.0
160.0,5.0,1770.0
161.0,-3.0,1785.0
162.0,8.0,1778.0
163.0,14.0,1720.0
164.0,-2.0,1773.0
165.0,10.0,1767.0
166.0,-2.0,1768.0
167.0,24.0,1784.0
168.0,7.0,1779.0
169.0,5.0,1757.0
