episode,reward,steps
0.0,-20.0,872.0
1.0,-19.0,967.0
2.0,-21.0,841.0
3.0,-21.0,898.0
4.0,-20.0,892.0
5.0,-19.0,1121.0
6.0,-21.0,919.0
7.0,-19.0,1221.0
8.0,-17.0,1322.0
9.0,-16.0,1441.0
10.0,-19.0,1294.0
11.0,-19.0,1256.0
12.0,-16.0,1502.0
13.0,-14.0,1783.0
14.0,-19.0,1375.0
15.0,-17.0,1314.0
16.0,-18.0,1190.0
17.0,-17.0,1486.0
18.0,-15.0,1699.0
19.0,-18.0,1513.0
20.0,-18.0,1519.0
21.0,-21.0,1470.0
22.0,-17.0,1502.0
23.0,-14.0,1729.0
24.0,-17.0,1407.0
25.0,-19.0,1682.0
26.0,-14.0,1740.0
27.0,-15.0,1848.0
28.0,-15.0,1712.0
29.0,-16.0,1573.0
30.0,-14.0,1829.0
31.0,-18.0,1517.0
32.0,-17.0,1862.0
33.0,-12.0,2054.0
34.0,-14.0,1980.0
35.0,-13.0,1821.0
36.0,-16.0,1753.0
37.0,-15.0,1883.0
38.0,-13.0,2049.0
39.0,-13.0,2196.0
40.0,-13.0,2237.0
41.0,-16.0,1941.0
42.0,-12.0,2023.0
43.0,-18.0,1624.0
44.0,-14.0,2009.0
45.0,-20.0,1438.0
46.0,-15.0,1828.0
47.0,-17.0,1660.0
48.0,-16.0,1935.0
49.0,-15.0,2213.0
50.0,-16.0,2133.0
51.0,-13.0,2183.0
52.0,-15.0,1863.0
53.0,-14.0,1915.0
54.0,-12.0,2235.0
55.0,-16.0,1727.0
56.0,-11.0,2122.0
57.0,-16.0,2048.0
58.0,-10.0,2327.0
59.0,-15.0,1889.0
60.0,-14.0,2027.0
61.0,-5.0,3320.0
62.0,-11.0,2395.0
63.0,-16.0,2030.0
64.0,-11.0,2339.0
65.0,-13.0,2184.0
66.0,-6.0,3011.0
67.0,-14.0,2198.0
68.0,-15.0,2040.0
69.0,-16.0,1895.0
70.0,-5.0,2968.0
71.0,-15.0,2343.0
72.0,-11.0,2567.0
73.0,-15.0,2040.0
74.0,-9.0,3037.0
75.0,-15.0,2260.0
76.0,-14.0,2035.0
77.0,-12.0,2462.0
78.0,5.0,3134.0
79.0,-9.0,2887.0
80.0,-12.0,2241.0
81.0,-16.0,2292.0
82.0,-11.0,2590.0
83.0,-9.0,2587.0
84.0,-9.0,2344.0
85.0,-8.0,2562.0
86.0,-9.0,3091.0
87.0,-10.0,2551.0
88.0,-5.0,2735.0
89.0,-6.0,3345.0
90.0,7.0,2811.0
91.0,-4.0,2907.0
92.0,-7.0,3136.0
93.0,-4.0,2917.0
94.0,-6.0,2748.0
95.0,-4.0,2724.0
96.0,7.0,3138.0
97.0,-10.0,2259.0
98.0,-7.0,2810.0
99.0,-6.0,2979.0
100.0,-15.0,2015.0
101.0,-5.0,2895.0
102.0,-12.0,2381.0
103.0,5.0,2901.0
104.0,5.0,2796.0
105.0,6.0,2736.0
106.0,7.0,2880.0
107.0,7.0,2846.0
108.0,15.0,2080.0
109.0,3.0,3082.0
110.0,2.0,3255.0
111.0,11.0,2277.0
112.0,14.0,2253.0
113.0,1.0,3275.0
114.0,5.0,2778.0
115.0,13.0,2452.0
116.0,-8.0,2818.0
117.0,4.0,3107.0
118.0,9.0,2720.0
119.0,-6.0,2780.0
120.0,14.0,2282.0
121.0,-8.0,2665.0
122.0,10.0,2223.0
123.0,4.0,2906.0
124.0,5.0,3224.0
125.0,7.0,2795.0
126.0,11.0,2582.0
127.0,6.0,2752.0
128.0,14.0,2230.0
129.0,19.0,1986.0
130.0,1.0,3322.0
131.0,6.0,2787.0
132.0,5.0,2811.0
133.0,4.0,3003.0
134.0,11.0,2725.0
135.0,7.0,2888.0
136.0,7.0,2650.0
137.0,12.0,2335.0
138.0,17.0,1828.0
139.0,4.0,3130.0
140.0,15.0,2408.0
141.0,15.0,2341.0
142.0,17.0,1938.0
143.0,13.0,2203.0
144.0,16.0,1943.0
145.0,9.0,2889.0
146.0,16.0,2346.0
147.0,7.0,3003.0
148.0,17.0,1945.0
149.0,14.0,2210.0
150.0,8.0,2873.0
151.0,15.0,2287.0
152.0,3.0,2987.0
153.0,17.0,1962.0
154.0,11.0,2325.0
155.0,12.0,2429.0
156.0,4.0,3267.0
157.0,16.0,2172.0
158.0,-1.0,3208.0
159.0,7.0,2815.0
160.0,14.0,2125.0
161.0,11.0,2347.0
162.0,12.0,2561.0
163.0,17.0,1928.0
164.0,11.0,2781.0
165.0,8.0,2884.0
166.0,8.0,2348.0
167.0,17.0,2042.0
168.0,12.0,2513.0
169.0,10.0,2524.0
170.0,7.0,2729.0
171.0,13.0,2446.0
172.0,9.0,2653.0
173.0,16.0,2483.0
174.0,9.0,2443.0
175.0,16.0,2121.0
176.0,15.0,2007.0
177.0,4.0,3195.0
178.0,-5.0,2946.0
179.0,14.0,2194.0
180.0,8.0,2871.0
181.0,9.0,2552.0
182.0,6.0,3130.0
183.0,17.0,2167.0
184.0,11.0,2629.0
185.0,10.0,2632.0
186.0,11.0,2660.0
187.0,11.0,2501.0
188.0,11.0,2479.0
189.0,18.0,1899.0
190.0,15.0,1999.0
191.0,17.0,1898.0
192.0,17.0,1997.0
193.0,6.0,3027.0
194.0,18.0,1937.0
195.0,14.0,2339.0
196.0,19.0,1798.0
197.0,15.0,2124.0
198.0,8.0,2449.0
199.0,11.0,2508.0
200.0,17.0,1995.0
201.0,16.0,2018.0
202.0,18.0,2068.0
203.0,10.0,2580.0
204.0,-9.0,2386.0
205.0,16.0,1946.0
206.0,16.0,2143.0
207.0,18.0,1891.0
208.0,14.0,2288.0
209.0,12.0,2540.0
210.0,18.0,1806.0
211.0,14.0,2173.0
212.0,15.0,1949.0
213.0,15.0,2118.0
214.0,19.0,1915.0
215.0,20.0,1645.0
216.0,15.0,2123.0
217.0,17.0,1923.0
218.0,17.0,1950.0
219.0,9.0,2378.0
220.0,15.0,2457.0
221.0,17.0,1922.0
222.0,15.0,2191.0
223.0,18.0,1937.0
224.0,16.0,1990.0
225.0,17.0,2054.0
226.0,13.0,2227.0
227.0,16.0,2062.0
228.0,19.0,1784.0
229.0,19.0,1868.0
230.0,-3.0,2912.0
231.0,17.0,1954.0
232.0,18.0,1877.0
233.0,11.0,2494.0
234.0,18.0,1884.0
235.0,17.0,2075.0
236.0,9.0,2707.0
237.0,15.0,2052.0
238.0,13.0,2475.0
239.0,9.0,2833.0
240.0,16.0,1953.0
241.0,19.0,1760.0
242.0,19.0,1769.0
243.0,19.0,1844.0
244.0,15.0,2063.0
245.0,15.0,2015.0
246.0,17.0,2152.0
247.0,19.0,1864.0
248.0,8.0,2728.0
249.0,4.0,2860.0
250.0,14.0,2331.0
251.0,14.0,2278.0
252.0,14.0,2508.0
253.0,12.0,2399.0
254.0,14.0,2288.0
255.0,13.0,2390.0
256.0,15.0,2140.0
257.0,17.0,2109.0
258.0,9.0,2606.0
259.0,19.0,1863.0
260.0,15.0,2146.0
261.0,9.0,2837.0
262.0,19.0,1857.0
263.0,13.0,2451.0
264.0,10.0,2558.0
265.0,12.0,2744.0
266.0,10.0,2628.0
267.0,17.0,1934.0
268.0,20.0,1748.0
269.0,18.0,2249.0
270.0,16.0,2000.0
271.0,16.0,1908.0
272.0,15.0,2101.0
273.0,17.0,1981.0
274.0,10.0,2428.0
275.0,7.0,3158.0
276.0,19.0,1763.0
277.0,15.0,2087.0
278.0,14.0,2334.0
279.0,11.0,2658.0
280.0,12.0,2338.0
281.0,18.0,1810.0
282.0,14.0,2133.0
283.0,13.0,2426.0
284.0,10.0,2790.0
285.0,11.0,2218.0
286.0,16.0,2061.0
287.0,17.0,2074.0
288.0,18.0,1907.0
289.0,12.0,2271.0
290.0,14.0,2138.0
291.0,6.0,2706.0
292.0,18.0,1929.0
293.0,16.0,2099.0
294.0,4.0,2903.0
295.0,6.0,2726.0
296.0,7.0,2653.0
297.0,14.0,2231.0
298.0,18.0,2065.0
299.0,5.0,2775.0
300.0,19.0,1845.0
