episode,reward,steps
0.0,-1.0,1783.0
1.0,2.0,1776.0
2.0,2.0,1760.0
3.0,3.0,1758.0
4.0,-3.0,1776.0
5.0,7.0,1781.0
6.0,4.0,1776.0
7.0,-2.0,1784.0
8.0,4.0,1765.0
9.0,0.0,1779.0
10.0,1.0,1784.0
11.0,-3.0,1769.0
12.0,0.0,1780.0
13.0,0.0,1775.0
14.0,-2.0,1779.0
15.0,4.0,1757.0
16.0,0.0,1775.0
17.0,-4.0,1758.0
18.0,3.0,1773.0
19.0,-16.0,1761.0
20.0,12.0,1764.0
21.0,13.0,1783.0
22.0,12.0,1765.0
23.0,-6.0,1782.0
24.0,8.0,1783.0
25.0,7.0,1766.0
26.0,3.0,1769.0
27.0,-9.0,1785.0
28.0,11.0,1780.0
29.0,15.0,1768.0
30.0,4.0,1769.0
31.0,0.0,1784.0
32.0,1.0,1761.0
33.0,3.0,1774.0
34.0,-13.0,1777.0
35.0,1.0,1782.0
36.0,-13.0,1768.0
37.0,4.0,1774.0
38.0,8.0,1771.0
39.0,2.0,1774.0
40.0,-7.0,1779.0
41.0,10.0,1757.0
42.0,6.0,1785.0
43.0,9.0,1784.0
44.0,8.0,1767.0
45.0,-2.0,1761.0
46.0,17.0,1757.0
47.0,-3.0,1780.0
48.0,-6.0,1774.0
49.0,28.0,1765.0
50.0,1.0,1764.0
51.0,3.0,1766.0
52.0,35.0,1766.0
53.0,0.0,1768.0
54.0,1.0,1761.0
55.0,24.0,1773.0
56.0,-1.0,1775.0
57.0,16.0,1756.0
58.0,19.0,1761.0
59.0,-1.0,1761.0
60.0,1.0,1756.0
61.0,-1.0,1776.0
62.0,23.0,1764.0
63.0,7.0,1767.0
64.0,16.0,1764.0
65.0,10.0,1762.0
66.0,4.0,1767.0
67.0,23.0,1766.0
68.0,7.0,1757.0
69.0,25.0,1767.0
70.0,-1.0,1766.0
71.0,38.0,1486.0
72.0,6.0,1765.0
73.0,6.0,1768.0
74.0,3.0,1761.0
75.0,8.0,1779.0
76.0,6.0,1775.0
77.0,41.0,1781.0
78.0,7.0,1768.0
79.0,23.0,1632.0
80.0,0.0,1767.0
81.0,-9.0,1764.0
82.0,12.0,1779.0
83.0,20.0,1625.0
84.0,16.0,1772.0
85.0,13.0,1785.0
86.0,8.0,1770.0
87.0,10.0,1757.0
88.0,36.0,1533.0
89.0,1.0,1763.0
90.0,43.0,1487.0
91.0,1.0,1777.0
92.0,23.0,1481.0
93.0,14.0,1782.0
94.0,24.0,1491.0
95.0,3.0,1769.0
96.0,16.0,1693.0
97.0,22.0,1488.0
98.0,16.0,1740.0
