episode,reward,steps
0.0,-20.0,893.0
1.0,-21.0,828.0
2.0,-20.0,904.0
3.0,-19.0,1024.0
4.0,-21.0,821.0
5.0,-19.0,1113.0
6.0,-19.0,1522.0
7.0,-19.0,1725.0
8.0,-17.0,1761.0
9.0,-18.0,1489.0
10.0,-16.0,2014.0
11.0,-19.0,1523.0
12.0,-20.0,1745.0
13.0,-20.0,1805.0
14.0,-17.0,1817.0
15.0,-15.0,1901.0
16.0,-20.0,1409.0
17.0,-14.0,1987.0
18.0,-16.0,1920.0
19.0,-18.0,2295.0
20.0,-15.0,2093.0
21.0,-15.0,2152.0
22.0,-8.0,3085.0
23.0,-9.0,2718.0
24.0,-11.0,2432.0
25.0,-13.0,2430.0
26.0,-16.0,1977.0
27.0,-16.0,2133.0
28.0,-17.0,2266.0
29.0,-14.0,2189.0
30.0,-10.0,2656.0
31.0,-20.0,1755.0
32.0,-10.0,2850.0
33.0,-10.0,2557.0
34.0,-11.0,3077.0
35.0,-16.0,2478.0
36.0,-11.0,2566.0
37.0,-5.0,4058.0
38.0,-13.0,2712.0
39.0,-12.0,2545.0
40.0,-11.0,2778.0
41.0,-12.0,2529.0
42.0,-16.0,2637.0
43.0,-12.0,2602.0
44.0,-9.0,2826.0
45.0,-8.0,3082.0
46.0,-15.0,2328.0
47.0,-10.0,2746.0
48.0,-8.0,3090.0
49.0,-8.0,3035.0
50.0,-8.0,3017.0
51.0,-8.0,3312.0
52.0,-9.0,3314.0
53.0,-9.0,2843.0
54.0,-5.0,4322.0
55.0,-8.0,3366.0
56.0,-6.0,2644.0
57.0,-15.0,2587.0
58.0,-4.0,3285.0
59.0,-7.0,2836.0
60.0,-10.0,2679.0
61.0,-8.0,3078.0
62.0,-12.0,2405.0
63.0,-9.0,3133.0
64.0,-8.0,2968.0
65.0,-4.0,3172.0
66.0,-11.0,2523.0
67.0,-2.0,2980.0
68.0,-15.0,2462.0
69.0,1.0,4072.0
70.0,-8.0,3133.0
71.0,-11.0,2563.0
72.0,11.0,2608.0
73.0,-4.0,3491.0
74.0,11.0,2933.0
75.0,-5.0,3357.0
76.0,-8.0,2979.0
77.0,-5.0,3452.0
78.0,-11.0,2700.0
79.0,8.0,2836.0
80.0,8.0,2681.0
81.0,3.0,3120.0
82.0,11.0,2295.0
83.0,11.0,2662.0
84.0,14.0,2177.0
85.0,9.0,2949.0
86.0,8.0,2716.0
87.0,10.0,2708.0
88.0,14.0,2273.0
89.0,13.0,2357.0
90.0,13.0,2461.0
91.0,7.0,3020.0
92.0,7.0,3177.0
93.0,14.0,2269.0
94.0,8.0,2754.0
95.0,12.0,2433.0
96.0,-1.0,3631.0
97.0,8.0,2970.0
98.0,-14.0,2259.0
99.0,20.0,1783.0
100.0,19.0,1931.0
101.0,16.0,2001.0
102.0,20.0,1732.0
103.0,17.0,2158.0
104.0,13.0,2363.0
105.0,15.0,2243.0
106.0,20.0,1979.0
107.0,16.0,2130.0
108.0,5.0,2817.0
109.0,11.0,2550.0
110.0,12.0,2409.0
111.0,14.0,2357.0
112.0,6.0,3043.0
113.0,17.0,1866.0
114.0,10.0,2665.0
115.0,17.0,2178.0
116.0,11.0,2580.0
117.0,21.0,1638.0
118.0,10.0,2705.0
119.0,12.0,2452.0
120.0,8.0,2752.0
121.0,6.0,2888.0
122.0,9.0,2865.0
123.0,14.0,2373.0
124.0,15.0,2439.0
125.0,10.0,2626.0
126.0,13.0,2362.0
127.0,19.0,1953.0
128.0,14.0,2088.0
129.0,15.0,2251.0
130.0,12.0,2451.0
131.0,13.0,2449.0
132.0,15.0,2212.0
133.0,14.0,2381.0
134.0,13.0,2416.0
135.0,17.0,1852.0
136.0,14.0,2384.0
137.0,16.0,1999.0
138.0,13.0,2429.0
139.0,11.0,2470.0
140.0,2.0,3135.0
141.0,17.0,1923.0
142.0,19.0,1976.0
143.0,17.0,2064.0
